Operation,Threads,TXTotal,AccumTime,T2E,T2F,TXPass,PassTime,TXExceed,ExceedTime,TXFail,FailTime,Skipped,CombinedPassOps,ThreadOps,Avr-ms-per-op,Success,Exceed,Fail
ds-authenticate~0,1,500,1048,50,100,500,1048,0,0,0,0,0,477.10,477.10,2.10,100.00%,0.00%,0.00%
ds-authenticate~1,2,1000,2053,50,100,1000,2053,0,0,0,0,0,974.18,487.09,1.03,100.00%,0.00%,0.00%
ds-authenticate~2,3,1500,3868,50,100,1500,3868,0,0,0,0,0,1163.39,387.80,0.86,100.00%,0.00%,0.00%
ds-authenticate~3,4,2000,6791,50,100,1985,5262,4,311,11,1218,0,1427.60,356.90,0.70,99.25%,0.20%,0.55%
ds-authenticate~4,5,2500,7760,50,100,2495,7470,5,290,0,0,0,1610.82,322.16,0.62,99.80%,0.20%,0.00%
ds-authenticate~5,6,3000,10605,50,100,2982,9240,15,1051,3,314,0,1747.35,291.23,0.57,99.40%,0.50%,0.10%
ds-authenticate~6,7,3500,13559,50,100,3476,11631,20,1518,4,410,0,1861.13,265.88,0.54,99.31%,0.57%,0.11%
ds-authenticate~7,8,4000,15646,50,100,3998,15538,2,108,0,0,0,2045.25,255.66,0.49,99.95%,0.05%,0.00%
ds-authenticate~8,9,4500,18777,50,100,4497,18601,3,176,0,0,0,2156.89,239.65,0.46,99.93%,0.07%,0.00%
ds-authenticate~9,10,5000,23578,50,100,4994,23184,6,394,0,0,0,2120.62,212.06,0.47,99.88%,0.12%,0.00%
ds-authenticate~10,11,5500,27929,50,100,5494,27588,6,341,0,0,0,2166.21,196.93,0.46,99.89%,0.11%,0.00%
ds-authenticate~11,12,6000,32458,50,100,5995,32169,5,289,0,0,0,2218.25,184.85,0.45,99.92%,0.08%,0.00%
ds-authenticate~12,13,6500,39380,50,100,6481,37894,15,1070,4,416,0,2167.33,166.72,0.46,99.71%,0.23%,0.06%
ds-authenticate~13,14,7000,45306,50,100,6997,45124,3,182,0,0,0,2163.07,154.50,0.46,99.96%,0.04%,0.00%
ds-authenticate~14,15,7500,50970,50,100,7496,50740,4,230,0,0,0,2207.18,147.15,0.45,99.95%,0.05%,0.00%
ds-authenticate~15,16,8000,71670,50,100,7879,59418,21,1736,100,10516,0,2066.91,129.18,0.48,98.49%,0.26%,1.25%
ds-authenticate~16,17,8500,78102,50,100,8499,78048,1,54,0,0,0,1850.14,108.83,0.54,99.99%,0.01%,0.00%
ds-authenticate~17,18,9000,77049,50,100,8998,76941,2,108,0,0,0,2102.56,116.81,0.48,99.98%,0.02%,0.00%
ds-authenticate~18,19,9500,90412,50,100,9499,90351,1,61,0,0,0,1996.42,105.07,0.50,99.99%,0.01%,0.00%
ds-authenticate~19,20,10000,102276,50,100,9993,101730,4,237,3,309,0,1960.83,98.04,0.51,99.93%,0.04%,0.03%
ds-authenticate~20,21,10500,154297,50,100,10452,150870,45,3113,3,314,0,1431.57,68.17,0.70,99.54%,0.43%,0.03%
ds-authenticate~21,22,11000,164352,50,100,10982,163011,15,1030,3,311,0,1474.84,67.04,0.68,99.84%,0.14%,0.03%
ds-authenticate~22,23,11500,145176,50,100,11487,144361,11,605,2,210,0,1824.25,79.32,0.55,99.89%,0.10%,0.02%
ds-authenticate~23,24,12000,180167,50,100,11991,179528,7,432,2,207,0,1600.09,66.67,0.62,99.93%,0.06%,0.02%
ds-authenticate~24,25,12500,182304,50,100,12488,181648,12,656,0,0,0,1714.17,68.57,0.58,99.90%,0.10%,0.00%
ds-authenticate~25,26,13000,206947,50,100,12942,203405,57,3440,1,102,0,1633.95,62.84,0.61,99.55%,0.44%,0.01%
ds-authenticate~26,27,13500,221166,50,100,13452,218444,48,2722,0,0,0,1648.08,61.04,0.61,99.64%,0.36%,0.00%
ds-authenticate~27,28,14000,258993,50,100,13958,256412,38,2167,4,414,0,1515.54,54.13,0.66,99.70%,0.27%,0.03%
ds-authenticate~28,29,14500,305868,50,100,14413,300821,87,5047,0,0,0,1374.78,47.41,0.73,99.40%,0.60%,0.00%
ds-authenticate~29,30,15000,291462,50,100,14973,289926,26,1431,1,105,0,1544.39,51.48,0.65,99.82%,0.17%,0.01%
ds-authenticate~30,31,15500,285331,50,100,15301,267039,71,4917,128,13375,0,1752.24,56.52,0.57,98.72%,0.46%,0.83%
ds-authenticate~31,32,16000,285538,50,100,15959,282602,37,2518,4,418,0,1795.29,56.10,0.56,99.74%,0.23%,0.03%
ds-authenticate~32,33,16500,300581,50,100,16436,297006,64,3575,0,0,0,1811.49,54.89,0.55,99.61%,0.39%,0.00%
ds-authenticate~33,34,17000,325615,50,100,16927,321522,73,4093,0,0,0,1775.10,52.21,0.56,99.57%,0.43%,0.00%
ds-authenticate~34,35,17500,376412,50,100,17400,370533,100,5879,0,0,0,1627.21,46.49,0.61,99.43%,0.57%,0.00%
ds-authenticate~35,36,18000,395767,50,100,17866,388467,134,7300,0,0,0,1637.33,45.48,0.61,99.26%,0.74%,0.00%
ds-authenticate~36,37,18500,417421,50,100,18299,405835,201,11586,0,0,0,1639.83,44.32,0.61,98.91%,1.09%,0.00%
ds-authenticate~37,38,19000,439717,50,100,18775,426347,225,13370,0,0,0,1641.97,43.21,0.61,98.82%,1.18%,0.00%
ds-authenticate~38,39,19500,454640,50,100,19327,444749,172,9788,1,103,0,1673.05,42.90,0.60,99.11%,0.88%,0.01%
