Operation,Threads,TXTotal,AccumTime,T2E,T2F,TXPass,PassTime,TXExceed,ExceedTime,TXFail,FailTime,Skipped,CombinedPassOps,ThreadOps,Avr-ms-per-op,Success,Exceed,Fail
ds-authenticate~0,1,1000,1346,10,20,998,1295,2,51,0,0,0,742.94,742.94,1.35,99.80%,0.20%,0.00%
ds-authenticate~1,2,2000,3071,10,20,1998,3043,2,28,0,0,0,1302.51,651.25,0.77,99.90%,0.10%,0.00%
ds-authenticate~2,3,3000,5354,10,20,2997,5244,0,0,3,110,0,1714.53,571.51,0.58,99.90%,0.00%,0.10%
ds-authenticate~3,4,4000,8052,10,20,3985,7812,15,240,0,0,0,1987.08,496.77,0.50,99.63%,0.38%,0.00%
ds-authenticate~4,5,5000,10963,10,20,4962,10427,37,514,1,22,0,2284.53,456.91,0.44,99.24%,0.74%,0.02%
ds-authenticate~5,6,6000,15092,10,20,5981,14757,17,288,2,47,0,2392.02,398.67,0.42,99.68%,0.28%,0.03%
ds-authenticate~6,7,7000,20583,10,20,6965,19969,25,392,10,222,0,2403.12,343.30,0.42,99.50%,0.36%,0.14%
ds-authenticate~7,8,8000,27308,10,20,7946,26434,49,768,5,106,0,2351.30,293.91,0.43,99.33%,0.61%,0.06%
ds-authenticate~8,9,9000,33975,10,20,8874,32123,100,1276,26,576,0,2418.22,268.69,0.41,98.60%,1.11%,0.29%
ds-authenticate~9,10,10000,42680,10,20,9749,39221,220,2766,31,693,0,2374.31,237.43,0.42,97.49%,2.20%,0.31%
ds-authenticate~10,11,11000,56729,10,20,10460,46474,258,3395,282,6860,0,2364.15,214.92,0.42,95.09%,2.35%,2.56%
ds-authenticate~11,12,12000,61845,10,20,11553,55412,396,5246,51,1187,0,2363.88,196.99,0.42,96.28%,3.30%,0.43%
ds-authenticate~12,13,13000,76316,10,20,12522,69406,416,5551,62,1359,0,2243.87,172.61,0.45,96.32%,3.20%,0.48%
ds-authenticate~13,14,14000,88262,10,20,13449,80125,487,6667,64,1470,0,2247.95,160.57,0.44,96.06%,3.48%,0.46%
ds-authenticate~14,15,15000,110845,10,20,13811,92462,968,13429,221,4954,0,2093.52,139.57,0.48,92.07%,6.45%,1.47%
ds-authenticate~15,16,16000,118545,10,20,14937,103368,947,12581,116,2596,0,2191.86,136.99,0.46,93.36%,5.92%,0.72%
ds-authenticate~16,17,17000,134145,10,20,15575,113818,1296,17335,129,2992,0,2186.81,128.64,0.46,91.62%,7.62%,0.76%
ds-authenticate~17,18,18000,155519,10,20,16092,128127,1736,23425,172,3967,0,2117.45,117.64,0.47,89.40%,9.64%,0.96%
